timeframe_minutes,mode_name,bb_length,bb_mult,kc_length,kc_mult,use_true_range,buy_threshold,sell_threshold,cost_bps_per_side,full_history_total_return_pct,full_history_cagr_pct,full_history_max_drawdown_pct,full_history_daily_sharpe,full_history_trade_count,full_history_win_rate_pct,full_history_profit_factor,full_history_avg_trade_pnl,full_history_avg_hold_minutes,full_history_exposure_pct,full_history_profitable_days_pct,full_history_eligible_entry_share_pct,full_history_final_equity,full_history_start,full_history_end,last_1y_total_return_pct,last_1y_cagr_pct,last_1y_max_drawdown_pct,last_1y_daily_sharpe,last_1y_trade_count,last_1y_win_rate_pct,last_1y_profit_factor,last_1y_avg_trade_pnl,last_1y_avg_hold_minutes,last_1y_exposure_pct,last_1y_profitable_days_pct,last_1y_eligible_entry_share_pct,last_1y_final_equity,last_1y_start,last_1y_end,last_90d_total_return_pct,last_90d_cagr_pct,last_90d_max_drawdown_pct,last_90d_daily_sharpe,last_90d_trade_count,last_90d_win_rate_pct,last_90d_profit_factor,last_90d_avg_trade_pnl,last_90d_avg_hold_minutes,last_90d_exposure_pct,last_90d_profitable_days_pct,last_90d_eligible_entry_share_pct,last_90d_final_equity,last_90d_start,last_90d_end,ytd_2026_total_return_pct,ytd_2026_cagr_pct,ytd_2026_max_drawdown_pct,ytd_2026_daily_sharpe,ytd_2026_trade_count,ytd_2026_win_rate_pct,ytd_2026_profit_factor,ytd_2026_avg_trade_pnl,ytd_2026_avg_hold_minutes,ytd_2026_exposure_pct,ytd_2026_profitable_days_pct,ytd_2026_eligible_entry_share_pct,ytd_2026_final_equity,ytd_2026_start,ytd_2026_end
15,first_hour_entry_only,20,2.0,20,1.0,False,-0.02,1.5,1.0,2.6765173636024597,0.5303179176162853,0.6426910980445899,0.6748579671482491,2,100.0,inf,334.56467045030877,1642.5,0.24196759471959323,0.3184713375796179,0.14336917562724014,25669.129340900618,2021-03-08,2026-03-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2025-03-06,2026-03-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2025-12-08,2026-03-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2026-01-02,2026-03-06
5,first_hour_entry_only,20,2.0,20,1.0,False,-0.02,1.5,1.0,0.9381212892962898,0.18715493412235773,2.062045087320441,0.16766045492061335,7,57.14285714285714,1.7336317736408315,33.50433176058193,2936.4285714285716,0.8761449621664675,0.8757961783439491,0.1567398119122257,25234.530322324073,2021-03-08,2026-03-06,-0.08852393070046816,-0.08852393070046816,1.7764914693231493,-0.0643222151250189,2,50.0,0.6738193150669124,-11.065491337558342,7257.5,2.4930043245993385,1.984126984126984,0.23364485981308408,24977.869017324883,2025-03-06,2026-03-06,-0.2708999805590251,-0.2708999805590251,1.7764914693231493,-0.43182439286063073,1,0.0,0.0,-67.72499513975708,14440.0,9.98528484338869,6.557377049180328,0.4608294930875576,24932.275004860243,2025-12-08,2026-03-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2026-01-02,2026-03-06
60,first_hour_entry_only,20,2.0,20,1.0,False,-0.02,1.5,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2021-03-08,2026-03-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2025-03-06,2026-03-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2025-12-08,2026-03-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2026-01-02,2026-03-06
1,first_hour_entry_only,20,2.0,20,1.0,False,-0.02,1.5,1.0,-0.881263550520206,-0.17709531020370095,11.178036839606897,-0.002976745228854103,58,58.620689655172406,0.9706925607992583,-3.7985497867250224,4716.793103448276,11.3372722997976,8.9171974522293,0.2905046480743692,24779.68411236995,2021-03-08,2026-03-06,0.9293555562086553,0.9293555562086553,2.724245193608399,0.43684519028584473,14,71.42857142857143,1.2767272269524474,16.595634932297408,1967.4285714285713,6.145228638354211,6.349206349206349,0.35678889990089196,25232.338889052164,2025-03-06,2026-03-06,0.785369796179114,0.785369796179114,0.29937991576330925,2.9018851463784583,2,100.0,inf,98.17122452238982,18.5,0.15588792921845376,3.278688524590164,0.1596169193934557,25196.34244904478,2025-12-08,2026-03-06,0.785369796179114,0.785369796179114,0.29937991576330925,3.4390668525815733,2,100.0,inf,98.17122452238982,18.5,0.21561771561771562,4.545454545454546,0.22172949002217296,25196.34244904478,2026-01-02,2026-03-06
2,first_hour_entry_only,20,2.0,20,1.0,False,-0.02,1.5,1.0,-3.828461695054375,-0.7786504002753158,12.437432605742549,-0.16416817644403472,24,58.333333333333336,0.806011304542457,-39.87980932348304,3174.5,3.12392722279437,2.4681528662420384,0.2039949001274968,24042.884576236407,2021-03-08,2026-03-06,-1.5962072054887089,-1.5962072054887089,2.6343519494204326,-0.7144044547170433,4,50.0,0.41980240751115083,-99.7629503430444,2199.0,1.7466359953585895,1.5873015873015872,0.16359918200409,24600.948198627822,2025-03-06,2026-03-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2025-12-08,2026-03-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2026-01-02,2026-03-06
15,first_hour_flat,20,2.0,20,1.0,False,-0.02,1.5,1.0,0.5612078563003386,0.11212867649765812,0.36464743151465306,0.39919248603005475,2,50.0,4.428886073063314,70.15098203754314,728.5,0.08882354742871144,0.15923566878980894,0.14336917562724014,25140.301964075086,2021-03-08,2026-03-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2025-03-06,2026-03-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2025-12-08,2026-03-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2026-01-02,2026-03-06
60,first_hour_flat,20,2.0,20,1.0,False,-0.02,1.5,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2021-03-08,2026-03-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2025-03-06,2026-03-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2025-12-08,2026-03-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2026-01-02,2026-03-06
5,first_hour_flat,20,2.0,20,1.0,False,-0.02,1.5,1.0,-0.1561024791462695,-0.03127853866243813,0.6160844291716927,-0.11361173268639439,7,42.857142857142854,0.8015995334822661,-5.575088540938201,43.857142857142854,0.0684169142950505,0.23885350318471338,0.1567398119122257,24960.974380213433,2021-03-08,2026-03-06,-0.19579694695746053,-0.19579694695746053,0.3707823507600905,-1.3057933370284194,2,0.0,0.0,-24.474618369682503,51.0,0.11193080641058255,0.0,0.23364485981308408,24951.050763260635,2025-03-06,2026-03-06,-0.1395919216418573,-0.1395919216418573,0.3707823507601016,-2.049390153191919,1,0.0,0.0,-34.89798041046379,51.0,0.23123817532058022,0.0,0.4608294930875576,24965.102019589536,2025-12-08,2026-03-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2026-01-02,2026-03-06
2,first_hour_flat,20,2.0,20,1.0,False,-0.02,1.5,1.0,-1.7138868499688376,-0.34557678163098515,2.6286737324413334,-0.36135960456743804,24,45.83333333333333,0.6486320273437033,-17.852988020508747,216.20833333333334,0.261553299658346,0.9554140127388535,0.2039949001274968,24571.52828750779,2021-03-08,2026-03-06,-0.01577519911835079,-0.01577519911835079,0.5429707575089315,-0.032962579066707055,4,75.0,0.9576821316700804,-0.9859499448966744,40.0,0.1669279156403314,1.1904761904761905,0.16359918200409,24996.056200220413,2025-03-06,2026-03-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2025-12-08,2026-03-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2026-01-02,2026-03-06
1,first_hour_flat,20,2.0,20,1.0,False,-0.02,1.5,1.0,-2.910670451901709,-0.5897569786159407,5.06075508578443,-0.32348345122732225,63,44.44444444444444,0.6928893199555906,-11.550279571038523,98.77777777777777,0.5303293602927647,2.388535031847134,0.2905046480743692,24272.332387024573,2021-03-08,2026-03-06,0.6097645297720611,0.6097645297720611,0.7520311685899617,0.7073850337638522,16,43.75,1.5713362364453942,9.527570777688425,19.1875,0.31265913025766373,2.7777777777777777,0.35678889990089196,25152.441132443015,2025-03-06,2026-03-06,0.785369796179114,0.785369796179114,0.29937991576330925,2.9018851463784583,2,100.0,inf,98.17122452238982,18.5,0.15588792921845376,3.278688524590164,0.1596169193934557,25196.34244904478,2025-12-08,2026-03-06,0.785369796179114,0.785369796179114,0.29937991576330925,3.4390668525815733,2,100.0,inf,98.17122452238982,18.5,0.21561771561771562,4.545454545454546,0.22172949002217296,25196.34244904478,2026-01-02,2026-03-06
